name,code,ean,description,photos,category_path,category_name,price_net,tax,price_gross,currency,is_available,stock,availability_date,base_unit_of_measure,items_in_package_count,has_carton_packaging,base_units_in_carton_count,hs_code,country_of_origin,width_cm,height_cm,depth_cm,weight_kg,remarks
"Linking Balloon 12'', Pastel white (1 pkt / 100 pc.)",12LP-002,7501060416198,"Linking Balloon, size 12 inches, Pastel white.<BR>(1 pkt / 100 pc.)",https://shop.partydeco.pl/media/products/e8015f1d2343fe8e65cf8cb48925e0a1/images/12LP-002_01_S.jpg,"Products > Latex Balloons > Shapes balloons","Shapes balloons",21.67,23,26.65,PLN,1,57,,PK,100,0,0,95030099,MEX,22,3.6,34.6,0.33595,
"Round Balloon 1m, Pastel Clear",OLBO-038,5902230747067,"Balloon, diameter 1 meter, Mexican round, Pastel Clear.",https://shop.partydeco.pl/media/products/a34947d6b6dbcfee8ebae6b47ad2b598/images/OLBO-038_01_S.jpg;https://shop.partydeco.pl/media/products/a34947d6b6dbcfee8ebae6b47ad2b598/images/OLBO-038_02_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.0372,
"Round Balloon 1m, Pastel Black",OLBO-025,5902230747043,"Balloon, diameter 1 meter, Mexican round, Pastel Black.",https://shop.partydeco.pl/media/products/e79edc119892c92fce67f69a964abcb9/images/OLBO-025_01_S.jpg;https://shop.partydeco.pl/media/products/e79edc119892c92fce67f69a964abcb9/images/OLBO-025_02_S.jpg;https://shop.partydeco.pl/media/products/e79edc119892c92fce67f69a964abcb9/images/OLBO-025_03_S.jpg;https://shop.partydeco.pl/media/products/e79edc119892c92fce67f69a964abcb9/images/OLBO-025_04_S.jpg;https://shop.partydeco.pl/media/products/e79edc119892c92fce67f69a964abcb9/images/OLBO-025_05_S.jpg;https://shop.partydeco.pl/media/products/e79edc119892c92fce67f69a964abcb9/images/OLBO-025_06_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.0372,
"Round Balloon 1m, Pastel Burgundy",OLBO-024,5902230747036,"Balloon, diameter 1 meter, Mexican round, Pastel Burgundy.",https://shop.partydeco.pl/media/products/b3341fc9236748026f6f95bfcbd36ed8/images/OLBO-024_01_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.0372,
"Round Balloon 1m, Pastel Navy Blue",OLBO-022,5902230747012,"Balloon, diameter 1 meter, Mexican round, Pastel Navy Blue.",https://shop.partydeco.pl/media/products/011a19ed9e8cc3065f68523772ed1d87/images/OLBO-022_01_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.0372,
"Round Balloon 1m, Pastel Cream",OLBO-016,5902230747005,"Balloon, diameter 1 meter, Mexican round, Pastel Cream.",https://shop.partydeco.pl/media/products/043f3703048d8faf27e209e1c5bfa6bc/images/OLBO-016_01_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.0372,
"Round Balloon 1m, Pastel Green",OLBO-014,5902230746992,"Balloon, diameter 1 meter, Mexican round, Pastel Green.",https://shop.partydeco.pl/media/products/22683f4045cc6f3e02fc0b7b43280d2b/images/OLBO-014_01_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.0372,
"Round Balloon 1m, Pastel Blue",OLBO-012,5902230746985,"Balloon, diameter 1 meter, Mexican round, Pastel Blue.",https://shop.partydeco.pl/media/products/16973bdd3c516303d0b85780708e74eb/images/OLBO-012_01_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.0372,
"Round Balloon 1m, Pastel Dark Green",OLBO-011,5902230746978,"Balloon, diameter 1 meter, Mexican round, Pastel Dark Green.",https://shop.partydeco.pl/media/products/555a99ceeb678cb61e507fe18bc81c68/images/OLBO-011_01_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.0552,
"Round Balloon 1m, Pastel Lavender",OLBO-009,5902230746961,"Balloon, diameter 1 meter, Mexican round, Pastel Lavender.",https://shop.partydeco.pl/media/products/b77bd7de82d0b7a80a70326656111211/images/OLBO-009_01_S.jpg;https://shop.partydeco.pl/media/products/b77bd7de82d0b7a80a70326656111211/images/OLBO-009_02_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.0372,
"Round Balloon 1m, Pastel Orange",OLBO-007,5902230746954,"Balloon, diameter 1 meter, Mexican round, Pastel Orange.",https://shop.partydeco.pl/media/products/aeab2aeb566b2b2ca4a76b6c89e72a83/images/OLBO-007_01_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.0372,
"Round Balloon 1m, Pastel Yellow",OLBO-006,5902230746947,"Balloon, diameter 1 meter, Mexican round, Pastel Yellow.",https://shop.partydeco.pl/media/products/45a82ea5e8726db513219f46b96e5076/images/OLBO-006_01_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.0372,
"Round Balloon 1m, Pastel Forest Green",OLBO-005,5902230746930,"Balloon, diameter 1 meter, Mexican round, Pastel Forest Green.",https://shop.partydeco.pl/media/products/e77a438393ad2246639e5e4373b71d5f/images/OLBO-005_01_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.0372,
"Round Balloon 1m, Pastel Pink",OLBO-004,5902230746923,"Balloon, diameter 1 meter, Mexican round, Pastel Pink.",https://shop.partydeco.pl/media/products/c7b223a2929668da21d8a256a05e233f/images/OLBO-004_01_S.jpg;https://shop.partydeco.pl/media/products/c7b223a2929668da21d8a256a05e233f/images/OLBO-004_02_S.jpg;https://shop.partydeco.pl/media/products/c7b223a2929668da21d8a256a05e233f/images/OLBO-004_03_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.0372,
"Round Balloon 1m, Pastel Sky-Blue",OLBO-003,5902230746916,"Balloon, diameter 1 meter, Mexican round, Pastel Sky-Blue.",https://shop.partydeco.pl/media/products/cf089c4ea5429cfb8e83407d4cb678f1/images/OLBO-003_01_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.0372,
"Round Balloon 1m, Pastel White",OLBO-002,5902230746909,"Balloon, diameter 1 meter, Mexican round, Pastel White.",https://shop.partydeco.pl/media/products/4147aca3bcc5ad4251e3e469175f3f40/images/OLBO-002_01_S.jpg;https://shop.partydeco.pl/media/products/4147aca3bcc5ad4251e3e469175f3f40/images/OLBO-002_03_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.037,
"Round Balloon 1m, Pastel Red",OLBO-001,5902230746893,"Balloon, diameter 1 meter, Mexican round, Pastel Red.",https://shop.partydeco.pl/media/products/a7aae6d5d41c258c5b0d391bc9e99ee4/images/OLBO-001_01_S.jpg;https://shop.partydeco.pl/media/products/a7aae6d5d41c258c5b0d391bc9e99ee4/images/OLBO-001_02_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",4.17,23,5.13,PLN,1,300,,PC,1,0,0,95030099,MEX,15,0.8,20,0.038,
"Round Balloon 1m, Metallic Light Pink",OLBO-071,5902230747678,"Balloon, diameter 1 meter, round, Metallic Light Pink.",https://shop.partydeco.pl/media/products/48857d108e07fdc8be87a4bfee0f2553/images/OLBO-071_01_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",10.15,23,12.48,PLN,1,300,,PC,1,0,0,95030099,POL,15,0.8,20,0.0372,
"Round Balloon 1m, Metallic Pearl",OLBO-070,5902230747661,"Balloon, diameter 1 meter, round, Metallic Pearl.",https://shop.partydeco.pl/media/products/be58d09295a982af3c4a6acda5633f02/images/OLBO-070_01_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",10.15,23,12.48,PLN,1,300,,PC,1,0,0,95030099,POL,15,0.8,20,0.0372,
"Balloon round 1m, Metallic Gold",OLBO-060,5902230747647,"Balloon, diameter 1 meter, round, Metallic Gold.",https://shop.partydeco.pl/media/products/74ba72abbd99974bbef67d03b91b04ad/images/OLBO-060_01_S.jpg;https://shop.partydeco.pl/media/products/74ba72abbd99974bbef67d03b91b04ad/images/OLBO-060_02_S.jpg,"Products > Latex Balloons > Giant balloons","Giant balloons",10.15,23,12.48,PLN,1,300,,PC,1,0,0,95030099,POL,15,0.8,20,0.0372,
"Balloons 10'' Hearts, Pastel red (1 pkt / 100 pc.)",092MD,7501060415214,"Mexican balloons Hearts, size 10 inches, Pastel red.<BR>(1 pkt / 100 pc.)",https://shop.partydeco.pl/media/products/ebb67a2a663c063d07edd385d9c6262c/images/092MD_01_S.jpg,"Products > Latex Balloons > Shapes balloons","Shapes balloons",19.00,23,23.37,PLN,0,0,2021-03-31,PK,100,0,0,95030099,MEX,22.4,3.3,27,0.2293,
"Microfoil balloon 18'' HRT, cream",1110702-S15,026635111072,"HRT foil balloon, creamy, size 18 inches.",https://shop.partydeco.pl/media/products/71111fa25fad9802dc4de4a8ae48575d/images/1110702-S15_01_S.jpg,,,3.08,23,3.79,PLN,1,19,,PC,1,0,0,95030095,USA,51.2,0.1,42.6,0.019,
"Organza Plain, black, 0.16 x 9m (1 pc. / 9 lm)",ORP16-010,5901157429131,"Organza Plain, black, size 0.16x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/1711a8b62136f7234d63e75ccac23d03/images/ORP16-010_01_S.jpg;https://shop.partydeco.pl/media/products/1711a8b62136f7234d63e75ccac23d03/images/ORP16-010_02_S.jpg,"Products > Tapes / Fabrics > Organza plain","Organza plain",3.12,23,3.84,PLN,1,290,,PC,1,1,48,54074200,CHN,4.5,4.5,16.5,0.04195,
"Organza Plain, white, 0.36 x 9m (1 pc. / 9 lm)",ORP-008,5901157416216,"Organza Plain, white, size 0.36x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/41e0cdb08bc6bd571c0ef7b8467402fc/images/ORP-008_01_S.jpg;https://shop.partydeco.pl/media/products/41e0cdb08bc6bd571c0ef7b8467402fc/images/ORP-008_02_S.jpg,"Products > Tapes / Fabrics > Organza plain","Organza plain",6.18,23,7.60,PLN,1,300,,PC,1,1,24,54074100,CHN,4.3,4.3,36,0.08705,
"Organza Plain, sky-blue, 0.36 x 9m (1 pc. / 9 lm)",ORP-011,5901157428868,"Organza Plain, sky-blue, size 0.36x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/d95fd314114040adc02b3806a7088d38/images/ORP-011_01_S.jpg;https://shop.partydeco.pl/media/products/d95fd314114040adc02b3806a7088d38/images/ORP-011_02_S.jpg,"Products > Tapes / Fabrics > Organza plain","Organza plain",6.18,23,7.60,PLN,1,300,,PC,1,1,24,54074200,CHN,4.3,4.3,36,0.08705,
"Organza Plain, deep red, 0.36 x 9m (1 pc. / 9 lm)",ORP-082,5901157416285,"Organza Plain, deep red, size 0,36x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/9837f727b8e535df1214a37cb2e79cab/images/ORP-082_01_S.jpg;https://shop.partydeco.pl/media/products/9837f727b8e535df1214a37cb2e79cab/images/ORP-082_02_S.jpg,"Products > Tapes / Fabrics > Organza plain","Organza plain",6.18,23,7.60,PLN,1,300,,PC,1,1,24,54074200,CHN,4.3,4.3,36,0.08705,
"Organza Plain, cappuccino, 0.36 x 9m (1 pc. / 9 lm)",ORP-033J,5901157428936,"Organza Plain, cappuccino, size 0.36x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/0200f5e0a0ac4c89e1af16ea7335b451/images/ORP-033J_01_S.jpg;https://shop.partydeco.pl/media/products/0200f5e0a0ac4c89e1af16ea7335b451/images/ORP-033J_02_S.jpg,"Products > Tapes / Fabrics > Organza plain","Organza plain",6.18,23,7.60,PLN,0,0,,PC,1,1,24,54074200,CHN,4.3,4.3,36,0.08705,
"Organza Plain, dark pink, 0.36 x 9m (1 pc. / 9 lm)",ORP-006,5901157416254,"Organza Plain, dark pink, size 0.36x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/111459066259f2e54b9e9a04ca50ebd1/images/ORP-006_01_S.jpg,"Products > Tapes / Fabrics > Organza plain","Organza plain",6.18,23,7.60,PLN,1,300,,PC,1,1,24,54074200,CHN,4.3,4.3,36,0.08705,
"Organza Plain, dark turquoise, 0.36 x 9m (1 pc. / 9 lm)",ORP-083C,5901157428899,"Organza Plain, dark turquoise, size 0.36x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/f77a511a2985e03612d33c70bf6c6c0b/images/ORP-083C_01_S.jpg;https://shop.partydeco.pl/media/products/f77a511a2985e03612d33c70bf6c6c0b/images/ORP-083C_02_S.jpg,"Products > Tapes / Fabrics > Organza plain","Organza plain",6.18,23,7.60,PLN,1,300,,PC,1,1,24,54074200,CHN,4.3,4.3,36,0.08705,
"Organza Plain, black, 0.36 x 9m (1 pc. / 9 lm)",ORP-010,5901157428974,"Organza Plain, black, size 0.36x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/b9b6c458520e8924efa26c02badddc43/images/ORP-010_01_S.jpg;https://shop.partydeco.pl/media/products/b9b6c458520e8924efa26c02badddc43/images/ORP-010_02_S.jpg,"Products > Tapes / Fabrics > Organza plain","Organza plain",6.18,23,7.60,PLN,1,300,,PC,1,1,24,54074200,CHN,4.3,4.3,36,0.08705,
"Organza Plain, red, 0.36 x 9m (1 pc. / 9 lm)",ORP-007,5901157416247,"Organza Plain, red, size 0.36x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/23b6b8b4b90554cb563589198970b656/images/ORP-007_01_S.jpg;https://shop.partydeco.pl/media/products/23b6b8b4b90554cb563589198970b656/images/ORP-007_02_S.jpg,"Products > Tapes / Fabrics > Organza plain","Organza plain",6.18,23,7.60,PLN,1,300,,PC,1,1,24,54074200,CHN,4.3,4.3,36,0.08705,
"Organza Plain, red wine, 0.36 x 9m (1 pc. / 9 lm)",ORP-087,5901157428950,"Organza Plain, red wine, size 0.36x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/1bc94e9586c7bfccf0a4277cacff44e0/images/ORP-087_01_S.jpg;https://shop.partydeco.pl/media/products/1bc94e9586c7bfccf0a4277cacff44e0/images/ORP-087_02_S.jpg,"Products > Tapes / Fabrics > Organza plain","Organza plain",6.18,23,7.60,PLN,1,300,,PC,1,1,24,54074200,CHN,4.3,4.3,36,0.08705,
"Organza Plain, violet, 0.36 x 9m (1 pc. / 9 lm)",ORP-014,5901157428837,"Organza Plain, violet, size 0.36x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/74ba53b469656d6ba83856f2a883fd04/images/ORP-014_01_S.jpg;https://shop.partydeco.pl/media/products/74ba53b469656d6ba83856f2a883fd04/images/ORP-014_02_S.jpg,"Products > Tapes / Fabrics > Organza plain","Organza plain",6.18,23,7.60,PLN,1,300,,PC,1,1,24,54074200,CHN,4.3,4.3,36,0.08705,
"Organza Plain, light pink, 0.36 x 9m (1 pc. / 9 lm)",ORP-081J,5901157428875,"Organza Plain, light pink, size 0.36x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/d5c534b7b5a7a67db2970c91f955ac5c/images/ORP-081J_01_S.jpg;https://shop.partydeco.pl/media/products/d5c534b7b5a7a67db2970c91f955ac5c/images/ORP-081J_02_S.jpg,"Products > Tapes / Fabrics > Organza plain","Organza plain",6.18,23,7.60,PLN,1,300,,PC,1,1,24,54074200,CHN,4.3,4.3,36,0.08705,
"Organza Plain, light green, 0.36 x 9m (1 pc. / 9 lm)",ORP-102,5901157416261,"Organza Plain, light green, size 0.36x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/c0216d705f678c16c5a68f1fce4f36c8/images/ORP-102_01_S.jpg;https://shop.partydeco.pl/media/products/c0216d705f678c16c5a68f1fce4f36c8/images/ORP-102_02_S.jpg,"Products > Tapes / Fabrics > Organza plain","Organza plain",6.18,23,7.60,PLN,1,300,,PC,1,1,24,54074200,CHN,4.3,4.3,36,0.08705,
"Organza Plain, light cream, 0.36 x 9m (1 pc. / 9 lm)",ORP-079J,5901157428967,"Organza Plain, light cream, size 0.36x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/6251a2e1d8d6c0228395d91ac0318f09/images/ORP-079J_01_S.jpg;https://shop.partydeco.pl/media/products/6251a2e1d8d6c0228395d91ac0318f09/images/ORP-079J_02_S.jpg,"Products > Tapes / Fabrics > Organza plain","Organza plain",6.18,23,7.60,PLN,1,300,,PC,1,1,24,54074200,CHN,4.3,4.3,36,0.08705,
"Organza Plain, cream, 0.36 x 9m (1 pc. / 9 lm)",ORP-079,5901157416223,"Organza Plain, cream, size 0.36x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/5c602fc67eb757b1c424ba660afdd468/images/ORP-079_01_S.jpg;https://shop.partydeco.pl/media/products/5c602fc67eb757b1c424ba660afdd468/images/ORP-079_02_S.jpg,"Products > Tapes / Fabrics > Organza plain","Organza plain",6.18,23,7.60,PLN,1,300,,PC,1,1,24,54074200,CHN,4.3,4.3,36,0.08705,
"Organza Plain, lilac, 0.36 x 9m (1 pc. / 9 lm)",ORP-004,5901157428820,"Organza Plain, lilac, size 0.36x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/b8a6eeea53932d0b9d1121eb23af1e3d/images/ORP-004_01_S.jpg;https://shop.partydeco.pl/media/products/b8a6eeea53932d0b9d1121eb23af1e3d/images/ORP-004_02_S.jpg,"Products > Tapes / Fabrics > Organza plain","Organza plain",6.18,23,7.60,PLN,1,227,,PC,1,1,24,54074200,CHN,4.3,4.3,36,0.08705,
"Organza Plain, orange, 0.36 x 9m (1 pc. / 9 lm)",ORP-005,5901157416230,"Organza Plain, orange, size 0.36x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/36c79a1fb9ea5dc72c7be233c3ff494a/images/ORP-005_01_S.jpg;https://shop.partydeco.pl/media/products/36c79a1fb9ea5dc72c7be233c3ff494a/images/ORP-005_02_S.jpg,"Products > Tapes / Fabrics > Organza plain","Organza plain",6.18,23,7.60,PLN,1,300,,PC,1,1,24,54074200,CHN,4.3,4.3,36,0.08705,
"Organza Plain, pink, 0.36 x 9m (1 pc. / 9 lm)",ORP-081,5901157416278,"Organza Plain, pink, size 0.36x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/989dfcd7aca97bc5374f5b7695059eb8/images/ORP-081_01_S.jpg;https://shop.partydeco.pl/media/products/989dfcd7aca97bc5374f5b7695059eb8/images/ORP-081_02_S.jpg,"Products > Tapes / Fabrics > Organza plain","Organza plain",6.18,23,7.60,PLN,1,300,,PC,1,1,24,54074200,CHN,4.3,4.3,36,0.08705,
"Organza Plain, grey, 0.36 x 9m (1 pc. / 9 lm)",ORP-091,5901157428943,"Organza Plain, grey, size 0.36x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/12bf152cbe808a699648a1d16ae1a641/images/ORP-091_01_S.jpg;https://shop.partydeco.pl/media/products/12bf152cbe808a699648a1d16ae1a641/images/ORP-091_02_S.jpg,"Products > Tapes / Fabrics > Organza plain","Organza plain",6.18,23,7.60,PLN,1,300,,PC,1,1,24,54074200,CHN,4.3,4.3,36,0.08705,
"Organza Plain, plum, 0.36 x 9m (1 pc. / 9 lm)",ORP-105,5901157428882,"Organza Plain, plum, size 0.36x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/621088a2bb0615bce645f525f46b069b/images/ORP-105_01_S.jpg;https://shop.partydeco.pl/media/products/621088a2bb0615bce645f525f46b069b/images/ORP-105_02_S.jpg,"Products > Tapes / Fabrics > Organza plain","Organza plain",6.18,23,7.60,PLN,1,268,,PC,1,1,24,54074200,CHN,4.3,4.3,36,0.08705,
"Organza Plain, turquoise, 0.36 x 9m (1 pc. / 9 lm)",ORP-083,5901157428851,"Organza Plain, turquoise, size 0.36x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/c25c4cddd79be4d3ca2d33c5c4ac80bc/images/ORP-083_01_S.jpg;https://shop.partydeco.pl/media/products/c25c4cddd79be4d3ca2d33c5c4ac80bc/images/ORP-083_02_S.jpg,"Products > Tapes / Fabrics > Organza plain","Organza plain",6.18,23,7.60,PLN,1,300,,PC,1,1,24,54074200,CHN,4.3,4.3,36,0.08705,
"Organza Plain, yellow, 0.36 x 9m (1 pc. / 9 lm)",ORP-009,5901157428929,"Organza Plain, yellow, size 0.36x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/98936cb9c78377c7bbaa2c75215e9689/images/ORP-009_01_S.jpg;https://shop.partydeco.pl/media/products/98936cb9c78377c7bbaa2c75215e9689/images/ORP-009_02_S.jpg,"Products > Tapes / Fabrics > Organza plain","Organza plain",6.18,23,7.60,PLN,1,247,,PC,1,1,24,54074200,CHN,4.3,4.3,36,0.08705,
"Organza Snow, gold, 0.36 x 9m (1 pc. / 9 lm)",ORS-019,5901157416384,"Organza Snow, gold, size 0.36x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/606bfb2c068783008fb5484c247d3dd0/images/ORS-019_01_S.jpg;https://shop.partydeco.pl/media/products/606bfb2c068783008fb5484c247d3dd0/images/ORS-019_02_S.jpg,,,8.50,23,10.46,PLN,0,0,2021-05-28,PC,1,1,24,54074200,CHN,5,4.8,36.5,0.1109,
"Organza Glittery, white, 0.36 x 9m (1 pc. / 9 lm)",ORG-008,5901157421791,"Organza Glittery, white, size 0.36x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/fba340bb024f78c823e8c32918fa177e/images/ORG-008_01_S.jpg;https://shop.partydeco.pl/media/products/fba340bb024f78c823e8c32918fa177e/images/ORG-008_02_S.jpg;https://shop.partydeco.pl/media/products/fba340bb024f78c823e8c32918fa177e/images/ORG-008_03_S.jpg,"Products > Tapes / Fabrics > Organza glittery and hemmed","Organza glittery and hemmed",12.23,23,15.04,PLN,1,81,,PC,1,1,24,54074100,CHN,4.6,4.5,37,0.10865,
"Organza Glittery, gold, 0.36 x 9m (1 pc. / 9 lm)",ORG-019,5901157416391,"Organza Glittery, gold, size 0.36x9 meters.<BR>(1 pc. / 9 lm)",https://shop.partydeco.pl/media/products/ec159aa34c2ffd64f4482cb2a9e078a5/images/ORG-019_01_S.jpg;https://shop.partydeco.pl/media/products/ec159aa34c2ffd64f4482cb2a9e078a5/images/ORG-019_02_S.jpg;https://shop.partydeco.pl/media/products/ec159aa34c2ffd64f4482cb2a9e078a5/images/ORG-019_03_S.jpg,"Products > Tapes / Fabrics > Organza glittery and hemmed","Organza glittery and hemmed",12.23,23,15.04,PLN,1,300,,PC,1,1,24,54074200,CHN,4.6,4.5,37,0.10865,
"Printed Organza, white, 0.36 x 9m",ORD4-008,5901157429179,"Printed Organza, white with one-sided gold brocade print, size 0.36x9 meters.",https://shop.partydeco.pl/media/products/dc9875731040c30e16231f8649022f08/images/ORD4-008_01_S.jpg;https://shop.partydeco.pl/media/products/dc9875731040c30e16231f8649022f08/images/ORD4-008_02_S.jpg;https://shop.partydeco.pl/media/products/dc9875731040c30e16231f8649022f08/images/ORD4-008_03_S.jpg;https://shop.partydeco.pl/media/products/dc9875731040c30e16231f8649022f08/images/ORD4-008_04_S.jpg;https://shop.partydeco.pl/media/products/dc9875731040c30e16231f8649022f08/images/ORD4-008_05_S.jpg;https://shop.partydeco.pl/media/products/dc9875731040c30e16231f8649022f08/images/ORD4-008_06_S.jpg;https://shop.partydeco.pl/media/products/dc9875731040c30e16231f8649022f08/images/ORD4-008_07_S.jpg;https://shop.partydeco.pl/media/products/dc9875731040c30e16231f8649022f08/images/ORD4-008_08_S.jpg,"Products > Tapes / Fabrics > Organza with print","Organza with print",18.15,23,22.32,PLN,1,95,,PC,1,1,24,54074100,CHN,4.2,4.2,36,0.1163,
"Printed Organza, black, 0.36 x 9m",ORD3-010,5901157429162,"Printed Organza, black with one-sided silver brocade print, size 0.36x9 meters.",https://shop.partydeco.pl/media/products/76e5a6ec7c609d2e478928f15bc24fdc/images/ORD3-010_01_S.jpg;https://shop.partydeco.pl/media/products/76e5a6ec7c609d2e478928f15bc24fdc/images/ORD3-010_02_S.jpg;https://shop.partydeco.pl/media/products/76e5a6ec7c609d2e478928f15bc24fdc/images/ORD3-010_03_S.jpg;https://shop.partydeco.pl/media/products/76e5a6ec7c609d2e478928f15bc24fdc/images/ORD3-010_04_S.jpg;https://shop.partydeco.pl/media/products/76e5a6ec7c609d2e478928f15bc24fdc/images/ORD3-010_05_S.jpg;https://shop.partydeco.pl/media/products/76e5a6ec7c609d2e478928f15bc24fdc/images/ORD3-010_06_S.jpg;https://shop.partydeco.pl/media/products/76e5a6ec7c609d2e478928f15bc24fdc/images/ORD3-010_08_S.jpg,"Products > Tapes / Fabrics > Organza with print","Organza with print",19.07,23,23.46,PLN,1,290,,PC,1,1,24,54074200,CHN,4.2,4.2,36,0.1163,
"Printed Organza, cream, 0.36 x 9m",ORD3-079,5901157429155,"Printed Organza, cream with one-sided gold brocade print, size 0.36x9 meters.",https://shop.partydeco.pl/media/products/b37d17e83c9c3bb718c4e01b43a8d734/images/ORD3-079_01_S.jpg;https://shop.partydeco.pl/media/products/b37d17e83c9c3bb718c4e01b43a8d734/images/ORD3-079_02_S.jpg;https://shop.partydeco.pl/media/products/b37d17e83c9c3bb718c4e01b43a8d734/images/ORD3-079_03_S.jpg;https://shop.partydeco.pl/media/products/b37d17e83c9c3bb718c4e01b43a8d734/images/ORD3-079_04_S.jpg;https://shop.partydeco.pl/media/products/b37d17e83c9c3bb718c4e01b43a8d734/images/ORD3-079_05_S.jpg;https://shop.partydeco.pl/media/products/b37d17e83c9c3bb718c4e01b43a8d734/images/ORD3-079_06_S.jpg;https://shop.partydeco.pl/media/products/b37d17e83c9c3bb718c4e01b43a8d734/images/ORD3-079_07_S.jpg;https://shop.partydeco.pl/media/products/b37d17e83c9c3bb718c4e01b43a8d734/images/ORD3-079_08_S.jpg,"Products > Tapes / Fabrics > Organza with print","Organza with print",19.95,23,24.54,PLN,1,300,,PC,1,1,24,54074200,CHN,4.2,4.2,36,0.1163,
